aaron-bond.better-comments         Better Comments
adpyke.codesnap                    Code Snap
bradlc.vscode-tailwindcss          TailwindCSS
csstools.postcss                   PostCSS
dbaeumer.vscode-eslint             ESLint
dsznajder.es7-react-js-snippets    ReactJS Snippets
eamodio.gitlens                    Git Lens
esbenp.prettier-vscode             Prettier
formulahendry.auto-rename-tag      Auto Rename Tag
golang.go                          Go Language Support
vscodevim.vim                      VSCode Vim
